hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
4075,Fadala bin Ubaid al-Ansari رضی اللہ عنہ reported:,"A necklace having gold and gems in it was brought to Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) in Khaibar and it was one of the spoils of war and was put to sale. Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said: The gold used in it should be separated, and then Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) further said: (Sell) gold for gold with equal weight.",The Book Of Musaqah,Sahih Muslim,4,Sahih
4076,Fadila bin 'Ubaid (رضی اللہ عنہ) reported:,"I bought on the day (of the Victory of Khaibar) a necklace for twelve dinars (gold coins). It was made of gold studded with gems. I separated (gold from gems) in it, and found (gold) of more (worth) than twelve dinars. I made a mention of it to Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌), whereupon he said: It should not be sold unless it is separated.",The Book Of Musaqah,Sahih Muslim,4,Sahih
4077,,A hadith like this is narrated on the authority of Sa'id bin Yazid with the same chain of transmitters.,The Book Of Musaqah,Sahih Muslim,4,Sahih
4078,Fadala bin 'Ubaid رضی اللہ عنہ reported:,"We were in the company of Allah's Messenger (ﷺ) on the day (of the Victory of) Khaibar, and made transaction with the Jews for the 'uqiya of gold for the dinars or three (gold coins), whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said: Do not sell gold for gold but for equal weight",The Book Of Musaqah,Sahih Muslim,4,Sahih
4079,Hanash reported:,"We were along with Fadala bin Ubaid (رضی اللہ عنہ) in an expedition. There fell to my and my friend's lot a necklace made of gold, silver and jewels. I decided to buy that. I asked Fadala bin 'Ubaid رضی اللہ عنہ , whereupon he said: Separate its gold and place it in one pan (of the balance) and place your gold in the other pan, and do not receive but equal for equal, for I heard Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: He who believes in Allah and the Hereafter should not take but equal for equal.",The Book Of Musaqah,Sahih Muslim,4,Sahih
4080,Ma'mar bin Abdullah رضی اللہ عنہ reported:,"He sent his slave with a sa' of wheat and said to him: Sell it, and then buy with it barley. The slave went away and he got a sa' (of barley) and a part of sa' over and above that. When he came to Ma'mar he informed him about that, whereupon Ma'mar said to him: Why did you do that? Go back and return that, and do not accept but weight, for weight, for I used to hear from Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: Wheat for wheat and like for like. He (one of the narrators) said: Our food in those days consisted of barley. It was said to him (Ma'mar) that (wheat) is not like that (barley). He replied: I am afraid these may not be similar",The Book Of Musaqah,Sahih Muslim,4,Sahih
4081,Abu Huraira and Abu Sa'id al-Khudri ( رضی اللہ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) deputed a person from Banu 'Adi al-Ansari to collect revenue from Khaibar. He came with a fine quality of dates, whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said to him: Are all the dates of Khaibar like this? He said: Allah's Messenger, it is not so. We buy one sa' of (fine quality of dates) for two sa's out of total output (including even the inferior quality of dates), whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said: Don't do that, but like for like, or sell this (the inferior quality and receive the price) and then buy with the price of that, and that would make up the measure.",The Book Of Musaqah,Sahih Muslim,4,Sahih
4082,Abu Huraira (رضی اللہ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) deputed a person to collect revenue from Khaibar. He brought fine quality of dates, whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) said: Are all the dates of Khaibar like this)? He said: No. We got one sa' (of fine dates) for two sa's (of inferior dates), and (similarly) two sa's for three sa's. Thereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said: Don't do that rather sell the inferior quality of dates for dirhams (money), and then buy the superior quality with the help of dirhams.",The Book Of Musaqah,Sahih Muslim,4,Sahih
4083,Abu Sa'id رضی اللہ عنہ reported:,"Bilal (رضی اللہ عنہ) came with fine quality of dates. Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) said to him: From where (you have brought them)? Bilal رضی اللہ عنہ said: We had inferior quality of dates and I exchanged two sa's (of inferior quality) with one sa (of fine quality) as food for Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌), whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) said: Woe! it is in fact usury; therefore, don't do that. But when you intend to buy dates (of superior quality), sell (the inferior quality) in a separate bargain and then buy (the superior quality). And in the hadith transmitted by Ibn Sahl there is no mention of whereupon .",The Book Of Musaqah,Sahih Muslim,4,Sahih
4084,Abu Sa'id ( رضی اللہ عنہ) reported:,"Dates were brought to Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ), and he said: These dates are not like our dates, whereupon a man said: We sold two sa's of our dates (in order to get) one sa', of these (fine dates), whereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) said: That is interest; so return (these dates of fine quality), and get your (inferior dates) ; then sell our dates (for money) and buy for us (with the help of money) such (fine dates).",The Book Of Musaqah,Sahih Muslim,4,Sahih
