hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
3925,Jabir bin Abdullah (رضی اللہ عنہ) reported:,"We used to get land (on rent) during the lifetime of Allah's Messenger, ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) with a share of one-third or one-fourth (of the produce from the land irrigated) with the help of canals. Thereupon Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) stood up (to address) and said: HRe who has land should cultivate it, and if he does not cultivate it, he should lend it to his brother, and if he does not lend it to his brother, he should then retain it.",The Book of Transactions,Sahih Muslim,4,Sahih
3926,Jabir (رضی اللہ عنہ) reported:,"I heard Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) as saying: He who has (surplus) land should donate it (to others), or lend it.",The Book of Transactions,Sahih Muslim,4,Sahih
3927,"It was narrated from Al-Amash with this chain (a Hadith similar to no. 3926), except that he said:","""Let him cultivate it, or let his brother cultivate it.""",The Book of Transactions,Sahih Muslim,4,Sahih
3928,Jabir bin `Abdullah (رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) had forbidden renting of land. Bukair (one of the narrators) said: Nafi` reported to me that he heard Ibn `Umar (رضی اللہ عنہ) saying: We used to give land on rent; we then abandoned this practice when we heard the hadith of Rafi` bin Khadij رضی اللہ عنہ .,The Book of Transactions,Sahih Muslim,4,Sahih
3929,Jabir ( رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbidding the selling (renting of) uncultivated land for two years or three.,The Book of Transactions,Sahih Muslim,4,Sahih
3930,Jabir (رضی اللہ عنہ) reported:,"Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbidding selling of (produce) in advance for two years, and in the narmtion of Ibu Abd Shaiba (the words are): Selling of the fruits (on the tree) in advance for two years.",The Book of Transactions,Sahih Muslim,4,Sahih
3931,Abu Huraira (Allah be pleased with him) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) as saying: He who has land should cultivate it or lend it to his brother, but if he refuses, he should retain his land.",The Book of Transactions,Sahih Muslim,4,Sahih
3932,Jabir bin Abdullah (رضی اللہ عنہ) reported:,"I heard Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbidding Muzabana, and Huqul. Jabir bin Abdullah (رضی اللہ عنہ) said: Muzabana means the selling of fruits for dry dates and Huqul is the renting of land.",The Book of Transactions,Sahih Muslim,4,Sahih
3933,Abu Huraira (رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbidding Muhaqala and Muzabana.,The Book of Transactions,Sahih Muslim,4,Sahih
3934,Abu Sa'id al-Khudri (رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) having forbidden Mazabana and Muhaqala. Muzibana means the buying of fruits on the trees and Muhaqala is the renting of land.,The Book of Transactions,Sahih Muslim,4,Sahih
3935,Zaid bin Amr reported:,"I heard Ibn Umar (رضی اللہ عنہ) say: We did not see any harm in renting of the land, but as the first year was over Rafi' رضی اللہ عنہ alleged Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) having forbidden that.",The Book of Transactions,Sahih Muslim,4,Sahih
3936,This hadith has been narrated on the authority of Amr bin Dinar with the same chain of transmitters but (in) the hadith transmitted on the authority of 'Uyainah (the words are):,We abandoned it (renting) on account of that.,The Book of Transactions,Sahih Muslim,4,Sahih
3937,Ibn 'Umar ( رضی اللہ عنہ) reported:,Rafi رضی اللہ عنہ forbade us from benefitting from our land (in the form of rent).,The Book of Transactions,Sahih Muslim,4,Sahih
3938,Nafi reported:,"Ibn Umar (رضی اللہ عنہ) rented his land during the lifetime of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) and during the caliphate of Abu Bakr and that of Umar and that of Uthman (رضی اللہ عنہ) and during the early period of Muawiya's caliphate until at the end of Muawiya's reign, it reached him (Ibn 'Umar) that Rafi bin Khadij (رضی اللہ عنہ) narratted (a hadith) in which (there was a decree) of prohibition by Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌). He (Ibn 'Umar رضی اللہ عنہ) went to him (Rafi bin Khadij رضی اللہ عنہ) and I was with him and he asked him, whereupon he said: Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) used to forbid the renting of land. So Ibn Umar (رضی اللہ عنہ) abandoned it, and subsequently whenever he was asked about it, he said: Rafi bin Khadij (رضی اللہ عنہ) alleged that Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade it.",The Book of Transactions,Sahih Muslim,4,Sahih
3939,This hadith has been narrated on the authority of Ayyub and he made an addition in the hadith narrated by Ibn Ulayya in which he said:,Ibn Umar رضی اللہ عنہ abandoned it afterwards and he did not rent it (the land).,The Book of Transactions,Sahih Muslim,4,Sahih
3940,Nafi reported:,I went to Rafi bin Khadij رضی اللہ عنہ in the company of Ibn 'Umar (رضی اللہ عنہ) until he (Ibn 'Umar رضی اللہ عنہ) came to him at Balat (a place near Prophet's Mosque at Medina) and he (Rafi bin Khadij رضی اللہ عنہ) informed him that Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) had forbidden the renting of land.,The Book of Transactions,Sahih Muslim,4,Sahih
3941,"Nafi, reported from Ibn Umar ( رضی اللہ عنہ):",He came to Rafi رضی اللہ عنہ and he narrated this hadith from Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ).,The Book of Transactions,Sahih Muslim,4,Sahih
3942,"Nafi, reported:","Ibn Umar (رضی اللہ عنہ) used to rent the land, and that he was conveyed the hadith transmitted on the authority of Rafi bin Khadij. He (the narrator) said: He then went to him along with me. He (Rafi) narrated from some of his uncles in which it was mentioned that Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade the renting of land. Ibn 'Umar (رضی اللہ عنہ) then abandoned this practice of renting.",The Book of Transactions,Sahih Muslim,4,Sahih
3943,"Ibn 'Awn narrated (a Hadith as no. 3942) it with this chain, and he said:","""He Rafi narrated to him from some of his paternal uncles, from the prophet ﷺ.",The Book of Transactions,Sahih Muslim,4,Sahih
3944,Salim bin Abdullah reported:,"Abdullah bin Umar ( رضی اللہ عنہ) used to give land on rent until (this news) reached him that Rafi bin Khadij Ansari رضی اللہ عنہ used to forbid the renting of land. Abdullah رضی اللہ عنہ met him and said: Ibn Khadij, what is this that you narrate from Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) pertaining to renting of land? Rafi bin Khadij رضی اللہ عنہ said to Abdullah: I heard it from two uncles of mine and they had participated in the Battle of Badr who narrated to the members of the family that Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade the renting of land. Abdullah رضی اللہ عنہ said: I knew it that the land was rented during the lifetime of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌). Abdullah رضی اللہ عنہ then apprehended that Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) might have said something new in this connection (in regard to prohibition of renting) which I failed to know. So he abandoned the renting of land.",The Book of Transactions,Sahih Muslim,4,Sahih
3945,Rafi bin Khadij (رضی اللہ عنہ) reported:,"We used to give on rent land during the lifetime of Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ). We rented it on the share of one-third or one-fourth of the (produce) along with a definite quantity of corn. One day a person from among my uncles came to us and said: Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade us this act which was a source of benefit to us, but the obedience to Allah and to His Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) is more beneficial to us. He forbade us that we should rent land with one-third or one-fourth of (the produce) and the corn of a measure, and he commanded the owner of land that he should cultivate it or let it be cultivated by other (persons) but he showed disapproval of renting it or anything besides it.",The Book of Transactions,Sahih Muslim,4,Sahih
3946,Rafi bin Khadij ( رضی اللہ عنہ ) reported:,"We used to give land on rent, and we rented it on one-third or one-fourth share. The rest of the hadith is the same.",The Book of Transactions,Sahih Muslim,4,Sahih
3947,,"A similar report (as no. 3946) was narrated from Ya'la bin Hakim, with this chain.",The Book of Transactions,Sahih Muslim,4,Sahih
