hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
4250,Uqba bin Amir رضی اللہ عنہ reported:,My sister took a vow that she would walk bare foot to the house of Allah (Ka'ba). She asked me to inquire from Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) about it. I sought his decision and he said: She should walk on foot and ride also.,The Book Of Vows,Sahih Muslim,4,Sahih
4251,"It was narrated from Yazid bin Abi Habib, Abul Khair narrated to him from 'Uqbah bin 'Amir Al-Juhani, that he said:","""My sister made a vow..."" and he mentioned a Hadith like that of Mufaddal (no. 4250), but he did not mention in the Hadith: ""barefoot,"" and he added: ""Abdul -Khair did not leave 'Uqbah.""",The Book Of Vows,Sahih Muslim,4,Sahih
4252,,Yazid bin Abi Habib narrated a Hadith like that of 'Abdur'Razaq with this chain.,The Book Of Vows,Sahih Muslim,4,Sahih
4253,Uqba bin Amir رضی اللہ عنہ reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: The expiation of the (breach of) a vow is the same as that of the (breach of an oath).,The Book Of Vows,Sahih Muslim,4,Sahih
4254,Umar bin al-Khattib رضی اللہ عنہ reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: Allah, the Great and Majestic, forbids you to swear by your fathers. Umar رضی اللہ عنہ said: By Allah. I have never sworn (by my father) since I heard Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbidding it mentioning them on my behalf nor on behalf of someone else.",The Book Of Oaths,Sahih Muslim,4,Sahih
4255,This hadith has been transmitted on the authority of Zuhri except that in the hadith narrated on the authority of Uqail the words are,"I did not take oath by (anyone else except Allah) since I heard Allah's Messenger forbidding it. nor did I speak in such terms, and the narrator did not say, on my own behalf or on behalf of someone else .",The Book Of Oaths,Sahih Muslim,4,Sahih
4256,Salim reported on the authority of his father:,Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) heard 'Umar رضی اللہ عنہ while he was taking oath by his father. The rest of the hadith is the same.,The Book Of Oaths,Sahih Muslim,4,Sahih
4257,Abdullah (bin Umar) رضی اللہ عنہ reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) found, Umar bin al-Khattab رضی اللہ عنہ amongst the riders and he was taking oath by his father Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) called them (saying); Our Allah, the Exated and Majestic, has forbidden you that you take oath by your father. He who bag to take an oath, he must take it by Allah or keep quiet.",The Book Of Oaths,Sahih Muslim,4,Sahih
4258,,This hadith is narrated on the authority of Ibn Umar رضی اللہ عنہ through another chain of transmitters.,The Book Of Oaths,Sahih Muslim,4,Sahih
4259,Ibn 'Umar رضی اللہ عنہ heard Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying:,"He who has to take an oath, he must not take oath but by Allah. The Quraish used to take oath by their fathers. So he (the Holy Prophet ﷺ) said: Do not take oath by your fathers.",The Book Of Oaths,Sahih Muslim,4,Sahih
4260,Abu Huraira رضی اللہ عنہ reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: He who takes an oath in the course of which he says: By Lat (and al-'Uzza), he should say: There is no god but Allah; and that if anyone says to his friend: Come and I will gamble with you, he should pay sadaqa.",The Book Of Oaths,Sahih Muslim,4,Sahih
4261,,"It was narrated from Az-zuhri with this chain (a hadith similar to no. 4260), and the hadith of Ma'mar is like the Hadith of Yunus, except that he said: ""Let him give something in charity."" In the hadith of Al-Awza'iit say: ""Whoever swears by al-Lat aand -Uzza."" Abu Al-Hussain Muslim said: This phrase meaning: ""Come, I will gamble with you"" - was not narrated by anyone except Az-Zuhri had approximately ninety phrases which he narrated from prophet ﷺ and no one else narrated them with any reliable chaain of narrators.",The Book Of Oaths,Sahih Muslim,4,Sahih
4262,Abdul-Rahman bin Samura رضی اللہ عنہ reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: Do not swear by idols, nor by your fathers.",The Book Of Oaths,Sahih Muslim,4,Sahih
4263,Abu Musa al-Ash'ari رضی اللہ عنہ reported:,"I came to Allah's Apostle ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) along with a group of Ash'arites requesting to give us a mount. He (the Holy Prophet ﷺ) said: By Allah, I cannot provide you with a mount, and there is nothing with me which I should give you as a ride. He (the narrator) said: We stayed there as long as Allah willed. Then there were brought to him (to the Holy Prophet ﷺ) camels. He (the Holy Prophet ﷺ) then ordered to give us three white humped camels, We started and said (or some of us said to the others): Allah will not bless us. We came to Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) begging him to provide us with riding camels. He swore that he could not provide us with a mount, but later on he provided us with that. They (some of the Prophet's Companions) came and informed him about this (rankling of theirs), whereupon he said: It was not I who provided you with a mount, but Allah has provided you with that. So far as I am concerned, by Allah, if He so wills, I would not swear, but if, later on, I would see better than it, I (would break the vow) and expiate it and do that which is better.",The Book Of Oaths,Sahih Muslim,4,Sahih
