hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
3800,,A hadith like this has been narrated on the authority of Suhail with the same chain of transmitters.,The Book of Emancipating Slaves,Sahih Muslim,4,Sahih
3801,Abu Huraira ( رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade (two types of transactions) Mulamasa and Munabadha.,The Book of Transactions,Sahih Muslim,4,Sahih
3802,,Abu Huraira ( رضی اللہ عنہ) reported like this from Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌).,The Book of Transactions,Sahih Muslim,4,Sahih
3803,,Abu Huraira رضی اللہ عنہ reported from Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) a hadith like this through another chain of transmitters.,The Book of Transactions,Sahih Muslim,4,Sahih
3804,,A hadith like this has been narrated on the authority of Abu Huraira ( رضی اللہ عنہ) through another chain of transmitters.,The Book of Transactions,Sahih Muslim,4,Sahih
3805,Abu Huraira ( رضی اللہ عنہ) reported:,"Two types of trarisactions have been forbidden (by the Holy Prophet), al-Mlulamasa and al-Munabadha. As far as Mulamasa transaction is concerned, it is that every one of them (the parties entering into transaction) should touch the garment of the other without careful consideration, and al-Munabadha is that every one of them should throw his cloth to the other and one of them should not see the cloth of his friend.",The Book of Transactions,Sahih Muslim,4,Sahih
3806,Abu Sa'id al-Khudri ( رضی اللہ عنہ ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade us (from), two types of business transactions and two ways of dressing. He forbade Mulamasa and Munabadha in transactions. Mulamasa means the touching of another's garment with his hand, whether at night or by day, without turning it over except this much. Munabadha means that a man throws his garment to another and the other throws his garment, and thus confirming their contract without the inspection of mutual agreement.",The Book of Transactions,Sahih Muslim,4,Sahih
3807,,This hadith has been narrated on the authority of Ibn Shihab through the same chain of transmitters.,The Book of Transactions,Sahih Muslim,4,Sahih
3808,Abu Huraira ( رضی اللہ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) forbade a transaction determined by throwing stones, and the type which involves some uncertainty.",The Book of Transactions,Sahih Muslim,4,Sahih
3809,Abdullah (bin 'Umar) (رضی اللہ عنہ ) said:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade the transaction called habal al-habala.,The Book of Transactions,Sahih Muslim,4,Sahih
3810,Ibn 'Umar (رضی اللہ عنہ) reported:,The people of pre-Islamic days used to sell the meat of the slaughtered camel up to habal al-habala. And habal al-habala implies that a she-camel should give birth and then the (born one should grow young) and become pregnant. Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) forbade them that (this transaction).,The Book of Transactions,Sahih Muslim,4,Sahih
3811,Ibn 'Umar (رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as having said this: One amongst you should not enter into a transaction when another is bargaining.,The Book of Transactions,Sahih Muslim,4,Sahih
3812,Ibn 'Umar ( رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌ ) as saying: A person should not enter into a transaction when his brother is already making a transaction and he should not make a proposal of marriage when his brother has already made a proposal except when he gives permission.,The Book of Transactions,Sahih Muslim,4,Sahih
3813,Abu Huraira رضی اللہ عنہ reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: A Muslim should not purchase (in opposition) to his brother.,The Book of Transactions,Sahih Muslim,4,Sahih
3814,It was narrated from Abu Huraira رضی اللہ عنہ :,The Messenger of Allah ﷺ forbade a men to urge someone a men to someone to cancel a sale already greed upon so that he can buy the good himself.,The Book of Transactions,Sahih Muslim,4,Sahih
3815,Abu Huraira رضی اللہ عنہ reported:,"Allah's Messenger (ﷺ) as saying: Do not go out to meet riders to enter into transaction with them; none of you must buy in opposition to another, nor must you bid against one another; a townsman must not sell for a man from the desert, and do not tie up udders of carnels and sheep, and he who buys them after that has been done has two courses open to him: after he has milked them he may keep them if he is pleased with them, or he may return them along with a sit of dates if he is displeased with them.",The Book of Transactions,Sahih Muslim,4,Sahih
3816,Abu Huraira (رضی اللہ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade the (people) meeting the caravan (for entering into business transaction with them), and the selling of goods by a townsman on behalf of a man of the desert, and seeking by a woman the divorce of her sister (from her husband), and outbidding (against one another), and tying up the udders (of animals), and buying of (things) in opposition to one's brother.",The Book of Transactions,Sahih Muslim,4,Sahih
3817,,"Shubah narrated with this chain (a hadith similar to no. 3816) that according to the Hadith of Ghundar and Wahb, ""it was forbidden;"" and according to the Hadith of Abdus-Samad; ""The Messenger of Allah ﷺ forbade..."" a Hadith like that of Mua'dh from Shobah.",The Book of Transactions,Sahih Muslim,4,Sahih
3818,Ibn Umar ( رضی اللہ عنہ) reported:,Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) forbade the outbidding (against another).,The Book of Transactions,Sahih Muslim,4,Sahih
3819,Ibn 'Umar (رضی اللہ عنہ) reported:,"Allah's Messenger ( ‌صلی ‌اللہ ‌علیہ ‌وسلم ‌) as saying: Do not go out to meet merchandise in the way, (wait) until it is brought into the market. This hadith has been reported on the authority of Ibn Numair but with a slight change of words.",The Book of Transactions,Sahih Muslim,4,Sahih
