hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
2059,Narrated Abu Huraira رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""A time will come when one will not care how one gains one's money, legally or illegally.""",Sales and Trade,Sahih Bukhari,3,Sahih
"2060, 2061",Narrated Abu Al-Minhal:,"I used to practice money exchange, and I asked Zaid bin 'Arqam رضی اللہ عنہ about it, and he narrated what the Prophet said in the following: Abu Al-Minhal said, ""I asked Al-Bara' bin `Azib and Zaid bin Arqam about practicing money exchange. They replied, 'We were traders in the time of Allah's Messenger (ﷺ) and I asked Allah's Messenger (ﷺ) about money exchange. He replied, 'If it is from hand to hand, there is no harm in it; otherwise it is not permissible.""",Sales and Trade,Sahih Bukhari,3,Sahih
2062,Narrated 'Ubaid bin `Umair:,"Abu Musa asked `Umar to admit him but he was not admitted as `Umar was busy, so Abu Musa went back. When `Umar finished his job he said, ""Didn't I hear the voice of `Abdullah bin Qais? Let him come in."" `Umar was told that he had left. So, he sent for him and on his arrival, he (Abu Musa) said, ""We were ordered to do so (i.e. to leave if not admitted after asking permission thrice). `Umar told him, ""Bring witness in proof of your statement."" Abu Musa went to the Ansar's meeting places and asked them. They said, ""None amongst us will give this witness except the youngest of us, Abu Sa`id Al-Khudri رضی اللہ عنہ . Abu Musa then took Abu Sa`id Al-Khudri (to `Umar) and `Umar رضی اللہ عنہ said, surprisingly, ""Has this order of Allah's Messenger (ﷺ) been hidden from me?"" (Then he added), ""I used to be busy trading in markets.""",Sales and Trade,Sahih Bukhari,3,Sahih
2063,Narrator Abu Hurairah (رضی اللہ عنہ) said:,"""Allah's Messenger (ﷺ) mentioned a person from Bani Israel who travelled by sea and carried out his needs."" Then he narrated the whole story. (See Hadith no. 2291)",Sales and Trade,Sahih Bukhari,3,Sahih
2064,Narrated Jabir رضی اللہ عنہ :,"A caravan arrived (at Medina) while we were offering the Jumua prayer with the Prophet. The people left out for the caravan, with the exception of twelve persons. Then this Verse was revealed: 'But when they see some bargain or some amusement, they disperse headlong to it and leave you standing."" (62.11)",Sales and Trade,Sahih Bukhari,3,Sahih
2065,Narrated `Aisha رضی اللہ عنہا :,"The Prophet (ﷺ) said, ""If a woman gives in charity from her house meals without wasting (i.e. being extravagant), she will get the reward for her giving, and her husband will also get the reward for his earning and the storekeeper will also get a similar reward. The acquisition of the reward of none of them will reduce the reward of the others.""",Sales and Trade,Sahih Bukhari,3,Sahih
2066,Narrated Abu Huraira رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""If a woman gives something (i.e. in charity) from her husband's earnings without his permission, she will get half his reward.""",Sales and Trade,Sahih Bukhari,3,Sahih
2067,Narrated Anas bin Malik:,"I heard Allah's Messenger (ﷺ) saying, ""whoever desires an expansion in his sustenance and age, should keep good relations with his Kith and kin.""",Sales and Trade,Sahih Bukhari,3,Sahih
2068,Narrated `Amash:,"We mentioned about pledging in Salam trade to Ibrahim, Aswad, with reference to Hadrat Aishah , narrated a Hadith to me: The Prophet (ﷺ) purchased food grains from a Jew on credit and mortgaged his iron armor to him.",Sales and Trade,Sahih Bukhari,3,Sahih
2069,Narrated Qatada:,"Anas went to the Prophet (ﷺ) with barley bread having some dissolved fat on it. The Prophet (ﷺ) had mortgaged his armor to a Jew in Medina and took from him some barley for his family. Anas heard him saying, ""The household of Muhammad did not possess even a single Sa of wheat or food grains for the evening meal, although he has nine wives to look after."" (See Hadith No. 685)",Sales and Trade,Sahih Bukhari,3,Sahih
2070,Narrated `Aisha رضی اللہ عنہا :,"When Abu Bakr As-Siddiq رضی اللہ عنہ was chosen Caliph, he said, ""My people know that my profession was not incapable of providing substance to my family. And as I will be busy serving the Muslim nation, my family will eat from the National Treasury of Muslims, and I will practice the profession of serving the Muslims.""",Sales and Trade,Sahih Bukhari,3,Sahih
2071,Narrated Aisha رضی اللہ عنہا :,"The companions of Allah's Messenger (ﷺ) used to practice manual labor, so their sweat used to smell, and they were advised to take a bath. It is reported by Hammam and his father from Hadrat Aishah رضی اللہ عنہا .",Sales and Trade,Sahih Bukhari,3,Sahih
2072,Narrated Al-Miqdam رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""Nobody has ever eaten a better meal than that which one has earned by working with one's own hands. The Prophet (ﷺ) of Allah, David used to eat from the earnings of his manual labor.""",Sales and Trade,Sahih Bukhari,3,Sahih
2073,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""The Prophet (ﷺ) David used not to eat except from the earnings of his manual labor.""",Sales and Trade,Sahih Bukhari,3,Sahih
2074,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""No doubt, it is better for any one of you to cut a bundle of wood and carry it over his back rather than to ask someone who may or may not give him.""",Sales and Trade,Sahih Bukhari,3,Sahih
2075,Narrated Az-Zubair bin Al-Awwam رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""One would rather take a rope and cut wood and carry it than ask others).",Sales and Trade,Sahih Bukhari,3,Sahih
2076,Narrated Jabir bin `Abdullah رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""May Allah's mercy be on him who is lenient in his buying, selling, and in demanding back his money.""",Sales and Trade,Sahih Bukhari,3,Sahih
2077,Narrated Hudhaifa رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""Before your time the angels received the soul of a man and asked him, 'Did you do any good deeds (in your life)?' He replied, 'I used to order my employees to grant time to the rich person to pay his debts at his convenience.' So Allah said to the angels; ""Excuse him."" Rabi said that (the dead man said), 'I used to be easy to the rich and grant time to the poor.' Or, in another narration, 'grant time to the well-off and forgive the needy,' or, 'accept from the well-off and forgive the needy.'",Sales and Trade,Sahih Bukhari,3,Sahih
2078,Narrated Abu Huraira رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""There was a merchant who used to lend the people, and whenever his debtor was in straitened circumstances, he would say to his employees, 'Forgive him so that Allah may forgive us.' So, Allah forgave him.""",Sales and Trade,Sahih Bukhari,3,Sahih
2079,Narrated Hakim bin Hizam:,"Allah's Messenger (ﷺ) said, ""The seller and the buyer have the right to keep or return goods as long as they have not parted or till they part; and if both the parties spoke the truth and described the defects and qualities (of the goods), then they would be blessed in their transaction, and if they told lies or hid something, then the blessings of their transaction would be lost.""",Sales and Trade,Sahih Bukhari,3,Sahih
2080,Narrated Abu Sa`id رضی اللہ عنہ :,"We used to be given mixed dates (from the booty) and used to sell (barter) two Sas of those dates) for one Sa (of good dates). The Prophet (ﷺ) said (to us), ""No (bartering of) two Sas for one Sa nor two Dirhams for one Dirham is permissible"", (as that is a kind of usury). (See Hadith No. 405).",Sales and Trade,Sahih Bukhari,3,Sahih
2081,Narrated Abu Mas`ud رضی اللہ عنہ :,"An Ansari man, called Abu Shu'aib رضی اللہ عنہ , came and told his butcher slave, ""Prepare meals sufficient for five persons, for I want to invite the Prophet (ﷺ) along with four other persons as I saw signs of hunger on his face."" Abu Shu'aib invited them and another person came along with them. The Prophet (ﷺ) said (to Abu Shu'aib), This man followed us, so if you allow him, he will join us, and if you want him to return, he will go back."" Abu Shu'aib said, ""No, I have allowed him (i.e. he, too, is welcomed to the meal).",Sales and Trade,Sahih Bukhari,3,Sahih
2082,Narrated Hakim bin Hizam رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""The buyer and the seller have the option to cancel or to confirm the deal, as long as they have not parted or till they part, and if they spoke the truth and told each other the defects of the things, then blessings would be in their deal, and if they hid something and told lies, the blessing of the deal would be lost.""",Sales and Trade,Sahih Bukhari,3,Sahih
2083,Narrated Abu Hurairah (رضی اللہ عنہ):,"The Prophet (ﷺ) said ""Certainly a time will come when people will not bother to know from where they earned the money, by lawful means or unlawful means."" (See Hadith no. 2050)",Sales and Trade,Sahih Bukhari,3,Sahih
2084,Narrated Aisha رضی اللہ عنہا :,"When the last Verses of Surat al- Baqara were revealed, the Prophet (ﷺ) recited them in the mosque and proclaimed the trade of alcohol as illegal.",Sales and Trade,Sahih Bukhari,3,Sahih
