hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
4358,Narrated Abu `Uthman رضی اللہ عنہ :,"Allah's Messenger (ﷺ) sent `Amr bin Al As رضی اللہ عنہ as the commander of the troops of Dhat-us-Salasil. `Amr bin Al- `As رضی اللہ عنہ said, ""(On my return) I came to the Prophet (ﷺ) and said, 'Which people do you love most?' He replied, `Aisha.' I said, 'From amongst the men?' He replied, 'Her father (Abu Bakr)'. I said, 'Whom (do you love) next?' He replied, ""`Umar.' Then he counted the names of many men, and I became silent for fear that he might regard me as the last of them.""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4359,Narrated Jarir رضی اللہ عنہ :,"While I was at Yemen, I met two men from Yemen called Dhu Kala and Dhu `Amr, and I started telling them about Allah's Messenger (ﷺ). Dhu `Amr said to me, ""If what you are saying about your friend (i.e. the Prophet) is true, then he has died three days ago."" Then both of them accompanied me to Medina, and when we had covered some distance on the way to Medina, we saw some riders coming from Medina. We asked them and they said, ""Allah's Messenger (ﷺ) has died and Abu Bakr رضی اللہ عنہ has been appointed as the Caliph and the people are in a good state.' Then they said, ""Tell your friend (Abu Bakr رضی اللہ عنہ ) that we have come (to visit him), and if Allah will, we will come again."" So they both returned to Yemen. When I told Abu Bakr رضی اللہ عنہ their statement, he said to me, ""I wish you had brought them (to me)."" Afterwards I met Dhu `Amr, and he said to me, ""O Jarir! You have done a favor to me and I am going to tell you something, i.e. you, the nation of 'Arabs, will remain prosperous as long as you choose and appoint another chief whenever a former one is dead. But if authority is obtained by the power of the sword, then the rulers will become kings who will get angry, as kings get angry, and will be delighted as kings get delighted.""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4360,Narrated Jabir bin `Abdullah رضی اللہ عنہما :,"""Allah's Messenger (ﷺ) sent troops to the sea coast and appointed Abu 'Ubaida bin Al-Jarrah رضی اللہ عنہما as their commander, and they were 300 (men). We set out, and we had covered some distance on the way, when our journey food ran short. So Abu 'Ubaida رضی اللہ عنہما ordered that all the food present with the troops be collected, and it was collected. Our journey food was dates, and Abu Ubaida kept on giving us our daily ration from it little by little (piecemeal) till it decreased to such an extent that we did not receive except a date each."" I asked (Jabir رضی اللہ عنہ), ""How could one date benefit you?"" He said, ""We came to know its value when even that finished."" Jabir رضی اللہ عنہ added, ""Then we reached the sea (coast) where we found a fish like a small mountain. The people (i.e. troops) ate of it for 18 nights (i.e. days). Then Abu 'Ubaida رضی اللہ عنہ ordered that two of its ribs be fixed on the ground (in the form of an arch) and that a she-camel be ridden and passed under them. So it passed under them without touching them.""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4361,Narrated Jabir bin `Abdullah رضی اللہ عنہما :,"Allah's Messenger (ﷺ) sent us who were three-hundred riders under the command of Abu Ubaida bin Al- Jarrah رضی اللہ عنہ in order to watch the caravan of the Quraish pagans. We stayed at the seashore for half a month and were struck with such severe hunger that we ate even the Khabt (i.e. the leaves of the Salam, a thorny desert tree), and because of that, the army was known as Jaish-ul-Khabt. Then the sea threw out, an animal (i.e. a fish) called Al-`Anbar and we ate of that for half a month, and rubbed its fat on our bodies till our bodies returned to their original state (i.e. became strong and healthy). Abu Ubaida رضی اللہ عنہ took one of its ribs, fixed it on the ground; then he went to the tallest man of his companions (to let him pass under the rib). Once Sufyan said, ""He took a rib from its parts and fixed it, and then took a man and camel and they passed from underneath it (without touching it). "" Jabir added: There was a man amongst the people who slaughtered three camels and then slaughtered another three camels and then slaughtered other three camels, and then Abu 'Ubaida forbade him to do so. Narrated Abu Salih: Qais bin Sa`d رضی اللہ عنہ said to his father. ""I was present in the army and the people were struck with severe hunger."" He said, ""You should have slaughtered (camels) (for them)."" Qais رضی اللہ عنہ said, ""I did slaughter camels but they were hungry again. He said, ""You should have slaughtered (camels) again."" Qais رضی اللہ عنہ said, ""I did slaughter (camels) again but the people felt hungry again."" He said, ""You should have slaughtered (camels) again."" Qais رضی اللہ عنہ said, ""I did slaughter (camels) again, but the people again felt hungry."" He said, ""You should have slaughtered (camels) again."" Qais رضی اللہ عنہ said, ""But I was forbidden (by Abu 'Ubaida this time).",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4362,Narrated Jabir رضی اللہ عنہ :,"We set out in the army of Al-Khabt and Abu Ubaida رضی اللہ عنہ was the commander of the troops. We were struck with severe hunger and the sea threw out a dead fish the like of which we had never seen, and it was called Al-`Anbar. We ate of it for half a month. Abu Ubaida رضی اللہ عنہ took (and fixed) one of its bones and a rider passed underneath it (without touching it). (Jabir رضی اللہ عنہ added:) Abu 'Ubaida رضی اللہ عنہ said (to us), ""Eat (of that fish)."" When we arrived at Medina, we informed the Prophet (ﷺ) about that, and he said, ""Eat, for it is food Allah has brought out for you, and feed us if you have some of it."" So some of them gave him (of that fish) and he ate it.",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4363,Narrated Abu Huraira رضی اللہ عنہ :,"During the Hajj in which the Prophet (ﷺ) had made Abu Bakr As Siddiq رضی اللہ عنہ as chief of the, Hajj before the Hajj-ul-Wida,' on the day of Nahr, Abu Bakr رضی اللہ عنہ sent him along with a group of persons to announce to the people. ""No pagan is permitted to perform Hajj after this year, and nobody is permitted to perform the Tawaf of the Ka`ba naked.""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4364,Narrated Al-Bara رضی اللہ عنہ :,"The last Sura which was revealed in full was Baraa (i.e. Sura-at-Tauba), and the last Sura (i.e. part of a Sura) which was revealed was the last Verses of Sura-an-Nisa':-- ""They ask you for a legal decision. Say: Allah directs (thus) About those who have No descendants or ascendants As heirs."" (4.177)",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4365,Narrated `Imran bin Hussein رضی اللہ عنہما :,"A delegation from Banu Tamim came to the Prophet (ﷺ) . The Prophet (ﷺ) said, ""Accept the good tidings, O Banu Tamim!"" They said, ""O Allah's Messenger (ﷺ)! You have given us good tidings, so give us (something)."" Signs of displeasure appeared on his face. Then another delegation from Yemen came and he said (to them), ""Accept the good tidings, for Banu Tamim refuses to accept them."" They replied, ""We have accepted them, O Allah's Messenger (ﷺ)!""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4366,Narrated Abu Huraira رضی اللہ عنہ :,"I have always loveda Banu Tamim I heard of three qualities attributed to them by Allah's Messenger (ﷺ) (He said): They, out of all my followers, will be the strongest opponent of Ad-Dajjal; `Aisha had a slave-girl from them, and the Prophet (ﷺ) told her to manumit her as she was from the descendants of (the Prophet) Ishmael; and, when their Zakat was brought, the Prophet (ﷺ) said, ""This is the Zakat of my people.""",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
4367,Narrated Abdullah bin Az-Zubair رضی اللہ عنہما :,"A group of riders belonging to Banu Tamim came to the Prophet, Abu Bakr رضی اللہ عنہ said (to the Prophet (ﷺ) ), ""Appoint Al-Qa'qa bin Mabad bin Zurara رضی اللہ عنہ as (their) ruler."" `Umar رضی اللہ عنہ said (to the Prophet). ""No! But appoint Al-Aqra bin H`Abis رضی اللہ عنہ ."" Thereupon Abu Bakr رضی اللہ عنہ said (to `Umar رضی اللہ عنہ ). ""You just wanted to oppose me."" `Umar رضی اللہ عنہ replied. ""I did not want to oppose you."" So both of them argued so much that their voices became louder, and then the following Divine Verses were revealed in that connection:-- ""O you who believe ! Do not be forward in the presence of Allah and His Apostle..."" (till the end of Verse)...(49.1)",Military Expeditions led by the Prophet (PBUH) (Al-Maghaazi),Sahih Bukhari,5,Sahih
