hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
3830,Narrated `Amr bin Dinar and 'Ubaidullah bin Abi Yazid:,"In the lifetime of the Prophet (ﷺ) there was no wall around the Ka`ba and the people used to pray around the Ka`ba till `Umar رضی اللہ عنہ became the Caliph and he built the wall around it. 'Ubaidullah رضی اللہ عنہما further said, ""Its wall was low, so Ibn Az-Zubair رضی اللہ عنہما built it.""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3831,Narrated `Aisha رضی اللہ عنہا :,"Ashura' (i.e. the tenth of Muharram) was a day on which the tribe of Quraish used to fast in the prelslamic period of ignorance. The Prophet (ﷺ) also used to fast on this day. So when he migrated to Medina, he fasted on it and ordered (the Muslims) to fast on it. When the fasting of Ramadan was enjoined, it became optional for the people to fast or not to fast on the day of Ashura.",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3832,Narrated Ibn `Abbas رضی اللہ عنہما :,"The people used to consider the performance of `Umra in the months of Hajj an evil deed on the earth, and they used to call the month of Muharram as Safar and used to say, ""When (the wounds over) the backs (of the camels) have healed and the foot-marks (of the camels) have vanished (after coming from Hajj), then `Umra becomes legal for the one who wants to perform `Umra."" Allah's Messenger (ﷺ) and his companions reached Mecca assuming Ihram for Hajj on the fourth of Dhul-Hijja. The Prophet (ﷺ) ordered his companions to perform `Umra (with that lhram instead of Hajj). They asked, ""O Allah's Apostle! What kind of finishing of Ihram?"" The Prophet (ﷺ) said, ""Finish the Ihram completely.'",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3833,Narrated Sa`id bin Al-Musaiyab's grand-father:,"In the pre-lslamic period of ignorance a flood of rain came and filled the valley in between the two mountains (around the Ka`ba). Sufyan, the transmitter, says: They considered it to be a great event.",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3834,Narrated Qais bin Abi Hazim:,"Abu Bakr رضی اللہ عنہ went to a lady from the Ahmas tribe called Zainab bint Al-Muhajir and found that she refused to speak. He asked, ""Why does she not speak."" The people said, ""She has intended to perform Hajj without speaking."" He said to her, ""Speak, for it is illegal not to speak, as it is an action of the pre-islamic period of ignorance. So she spoke and said, ""Who are you?"" He said, ""A man from the Emigrants."" She asked, ""Which Emigrants?"" He replied, ""From Quraish."" She asked, ""From what branch of Quraish are you?"" He said, ""You ask too many questions; I am Abu Bakr رضی اللہ عنہ ."" She said, ""How long shall we enjoy this good order (i.e. Islamic religion) which Allah has brought after the period of ignorance?"" He said, ""You will enjoy it as long as your Imams keep on abiding by its rules and regulations."" She asked, ""What are the Imams?"" He said, ""Were there not heads and chiefs of your nation who used to order the people and they used to obey them?"" She said, ""Yes."" He said, ""So they (i.e. the Imams) are those whom I meant.""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3835,Narrated `Aisha رضی اللہ عنہا :,"A black lady slave of some of the 'Arabs embraced Islam and she had a hut in the mosque. She used to visit us and talk to us, and when she finished her talk, she used to say: ""The day of the scarf was one of our Lord's wonders: Verily! He has delivered me from the land of Kufr."" When she said the above verse many times, I (i.e. `Aisha رضی اللہ عنہا) asked her, ""What was the day of the scarf?"" She replied, ""Once the daughter of some of my masters went out and she was wearing a leather scarf (round her neck) and the leather scarf fell from her and a kite descended and picked it up, mistaking it for a piece of meat. They (i.e. my masters) accused me of stealing it and they tortured me to such an extent that they even looked for it in my private parts. So, while they all were around me, and I was in my great distress, suddenly the kite came over our heads and threw the scarf, and they took it. I said to them 'This is what you accused me of stealing, though I was innocent.""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3836,Narrated Ibn `Umar رضی اللہ عنہما :,"The Prophet (ﷺ) said, ""If anybody has to take an oath, he should swear only by Allah."" The people of Quraish used to swear by their fathers, but the Prophet (ﷺ) said, ""Do not swear by your fathers. """,Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3837,Narrated `Abdur-Rahman bin Al-Qasim:,"Al-Qasim used to walk in front of the funeral procession. He used not to get up for the funeral procession (in case it passed by him). And he narrated from `Aisha رضی اللہ عنہا that she said, ""The people of the pre-lslamic period of ignorance used to stand up for the funeral procession. When they saw it they used to say twice: 'You were noble in your family. What are you now?""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3838,Narrated `Umar رضی اللہ عنہ :,The pagans used not to leave Jam' (i.e. Muzdalifa) till the sun had risen on Thabir mountain. The Prophet contradicted them by leaving (Muzdalifa) before the sun rose.,Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3839,Narrated Husain:,"That `Ikrima said, ""Kasan Dihaqa means glass full (of something) followed successively with other full glasses.""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3840,Ibn `Abbas said رضی اللہ عنہما :,"""In the pre-lslamic period of ignorance I heard my father saying, ""Provide us with Kasan Dihaqa.""",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3841,Narrated Abu Huraira رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""The most true words said by a poet was the words of Labid."" He said, Verily, Everything except Allah is perishable and Umaiya bin As-Salt was about to be a Muslim (but he did not embrace Islam).",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3842,Narrated `Aisha رضی اللہ عنہا :,"Abu Bakr رضی اللہ عنہ had a slave who used to give him some of his earnings. Abu Bakr رضی اللہ عنہ used to eat from it. One day he brought something and Abu Bakr رضی اللہ عنہ ate from it. The slave said to him, ""Do you know what this is?"" Abu Bakr رضی اللہ عنہ then enquired, ""What is it?"" The slave said, ""Once, in the pre-Islamic period of ignorance I foretold somebody's future though I did not know this knowledge of foretelling but I, cheated him, and when he met me, he gave me something for that service, and that is what you have eaten from."" Then Abu Bakr رضی اللہ عنہ put his hand in his mouth and vomited whatever was present in his stomach.",Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
3843,Narrated Ibn `Umar رضی اللہ عنہما :,In the pre-lslamic period of ignorance the people used to bargain with the meat of camels on the principle of Habal-al-Habala which meant the sale of a she-camel that would be born by a she-camel that had not yet been born. The Prophet (ﷺ) forbade them such a transaction.,Merits of the Helpers in Madinah (Ansaar),Sahih Bukhari,5,Sahih
