hadithNumber,englishNarrator,hadithEnglish,chapterEnglish,bookName,volume,status
6289,Narrated Anas bin Malik رضی اللہ عنہ :,The Prophet (ﷺ) confided to me a secret which I did not disclose to anybody after him. And Um Sulaim asked me (about that secret) but I did not tell her.,Asking Permission,Sahih Bukhari,8,Sahih
6290,Narrated `Abdullah رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""When you are three persons sitting together, then no two of you should hold secret counsel excluding the third person until you are with some other people too, for that would grieve him.""",Asking Permission,Sahih Bukhari,8,Sahih
6291,Narrated `Abdullah رضی اللہ عنہما :,"One day the Prophet (ﷺ) divided and distributed something amongst the people whereupon an Ansari man said, ""In this division Allah's Countenance has not been sought."" I said, ""By Allah! I will go (and inform) the Prophet."" So I went to him while he was with a group of people, and I secretly informed him of that, whereupon he became so angry that his face became red, and he then said, ""May Allah bestow His Mercy on Moses (for) he was hurt more than that, yet he remained patient.""",Asking Permission,Sahih Bukhari,8,Sahih
6292,Narrated Anas رضی اللہ عنہ :,"The Iqama for the prayer was announced while a man was talking to Allah's Messenger (ﷺ) privately. He continued talking in that way till the Prophet's companions slept, and afterwards the Prophet (ﷺ) got up and offered the prayer with them.",Asking Permission,Sahih Bukhari,8,Sahih
6293,Narrated Salim's father:,"The Prophet (ﷺ) said, ""Do not keep the fire burning in your houses when you go to bed.""",Asking Permission,Sahih Bukhari,8,Sahih
6294,Narrated Abu Musa رضی اللہ عنہ :,"One night a house in Medina was burnt with its occupants. The Prophet (ﷺ) spoke about them, saying, ""This fire is indeed your enemy, so whenever you go to bed, put it out to protect yourselves.""",Asking Permission,Sahih Bukhari,8,Sahih
6295,Narrated Jabir bin `Abdullah رضی اللہ عنہما :,"Allah's Messenger (ﷺ) said, ""(At bedtime) cover the utensils, close the doors, and put out the lights, lest the evil creature (the rat) should pull away the wick and thus burn the people of the house.""",Asking Permission,Sahih Bukhari,8,Sahih
6296,Narrated Jabir رضی اللہ عنہ :,"Allah s Apostle said, ""When you intend going to bed at night, put out the lights, close the doors, tie the mouths of the water skins, and cover your food and drinks."" Hamrnam said, ""I think he (the other narrator) added, 'even with piece of wood across the utensil.'",Asking Permission,Sahih Bukhari,8,Sahih
6297,Narrated Abu Huraira رضی اللہ عنہ :,"The Prophet (ﷺ) said ""Five things are in accordance with Al Fitra (i.e. the tradition of prophets): to be circumcised, to shave the pelvic region, to pull out the hair of the armpits, to cut short the moustaches, and to clip the nails.'",Asking Permission,Sahih Bukhari,8,Sahih
6298,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said ""The Prophet) Abraham circumcised himself after he had passed the age of eighty years and he circumcised himself with an adze."" Abu Zinad said: At Qaddum (a place).",Asking Permission,Sahih Bukhari,8,Sahih
6299,Narrated Said bin Jubair:,"Ibn 'Abbas رضی اللہ عنہما was asked, ""How old were you when the Prophet (ﷺ) died?"" He replied. ""At that time I had been circumcised."" At that time, people did not circumcise the boys till they attained the age of puberty. Sa'id bin Jubair said, ""Ibn 'Abbas said, 'When the Prophet died, I had already been circumcised. """,Asking Permission,Sahih Bukhari,8,Sahih
6300,Narrated Ibn 'Abbas رضی اللہ عنہما :,"'When the Prophet (ﷺ) died, I had already been circumcised.' """,Asking Permission,Sahih Bukhari,8,Sahih
6301,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""Whoever among you takes an oath wherein he says, 'By Al-Lat and Al-`Uzza,' names of two Idols worshipped by the Pagans, he should say, 'None has the right to be worshipped but Allah; And whoever says to his friend, 'Come, let me gamble with you ! He should give something in charity. "" (See Hadith No. 645)",Asking Permission,Sahih Bukhari,8,Sahih
6302,Narrated Ibn-e-Umer رضی اللہ عنہما :,During the life-time of the Prophet (ﷺ) I built a house with my own hands so that it might protect me from the rain and shade me from the sun; and none of Allah's creatures assisted me in building it.,Asking Permission,Sahih Bukhari,8,Sahih
6303,Narrated Ibn `Umar رضی اللہ عنہما :,"""By Allah, I have not put a brick over a brick (i.e. constructed a building) or planted any date-palm tree since the death of the Prophet."" Sufyan (the sub narrator) said, ""I told this narration (of Ibn `Umar) to one of his (Ibn `Umar's) relatives, and he said, 'By Allah, he did build (something.' ""Sufyan added, ""I said, 'He must have said (the above narration) before he built.""",Asking Permission,Sahih Bukhari,8,Sahih
6304,Narrated Abu Huraira رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""For every prophet there is one (special invocation (that will not be rejected) with which he appeals (to Allah), and I want to keep such an invocation for interceding for my followers in the Hereafter.""",Invocations,Sahih Bukhari,8,Sahih
6305,Narrated Anas رضی اللہ عنہ :,"The Prophet (ﷺ) said, ""For every prophet there is an invocation that surely will be responded by Allah,"" (or said), ""For every prophet there was an invocation with which he appealed to Allah, and his invocation was accepted (in his lifetime), but I kept my (this special) invocation to intercede for my followers on the Day of Resurrection.""",Invocations,Sahih Bukhari,8,Sahih
6306,Narrated Shaddad bin Aus رضی اللہ عنہ :,"The Prophet (ﷺ) said ""The most superior way of asking for forgiveness from Allah is: 'Allahumma anta Rabbi la ilaha illa anta, Khalaqtani wa ana `Abduka, wa ana `ala `ahdika wa wa`dika mastata`tu, A`udhu bika min Sharri ma sana`tu, abu'u Laka bini`matika `alaiya, wa abu'u laka bidhanbi faghfir lee fa innahu la yaghfiru adhdhunuba illa anta."" The Prophet (ﷺ) added. ""If somebody recites it during the day with firm faith in it, and dies on the same day before the evening, he will be from the people of Paradise; and if somebody recites it at night with firm faith in it, and dies before the morning, he will be from the people of Paradise.""",Invocations,Sahih Bukhari,8,Sahih
6307,Narrated Abu Huraira رضی اللہ عنہ :,"I heard Allah's Messenger (ﷺ) saying."" By Allah! I ask for forgiveness from Allah and turn to Him in repentance more than seventy times a day.""",Invocations,Sahih Bukhari,8,Sahih
6308,Narrated `Abdullah bin Mas`ud رضی اللہ عنہما :,"One from the Prophet (ﷺ) and the other from himself, saying: A believer sees his sins as if he were sitting under a mountain which, he is afraid, may fall on him; whereas the wicked person considers his sins as flies passing over his nose and he just drives them away like this."" Abu Shihab (the sub-narrator) moved his hand over his nose in illustration. (Ibn Mas`ud رضی اللہ عنہما added): Allah's Messenger (ﷺ) said, ""Allah is more pleased with the repentance of His slave than a man who encamps at a place where his life is jeopardized, but he has his riding beast carrying his food and water. He then rests his head and sleeps for a short while and wakes to find his riding beast gone. (He starts looking for it) and suffers from severe heat and thirst or what Allah wished (him to suffer from). He then says, 'I will go back to my place.' He returns and sleeps again, and then (getting up), he raises his head to find his riding beast standing beside him."" Abu Awanah and Jarrer has reported likewise from Aamash. Abu Osamah, Aamash, has reported it from Harith bin Sowaid. Shobah, Abu Muslim, Aamash, Ibrahim Taimi reported from Harith bin Sowaid. Abu Moaviyah, Aamash, Omarah, Aswad reported it from Hadrat Abdullah bin Masoud رضی اللہ عنہما. Ibrahim Taimi, Harith bin Sowaid reported from Hadrat Abdullah (bin Masoud) رضی اللہ عنہما .",Invocations,Sahih Bukhari,8,Sahih
6309,Narrated Anas bin Malik رضی اللہ عنہ :,"Allah's Messenger (ﷺ) said, ""Allah is more pleased with the repentance of His slave than anyone of you is pleased with finding his camel which he had lost in the desert. """,Invocations,Sahih Bukhari,8,Sahih
6310,Narrated Aisha رضی اللہ عنہا :,"The Prophet (ﷺ) used to pray eleven rak`at in the late part of the night, and when dawn appeared, he would offer two rak`at and then lie on his right side till the Muadhdhin came to inform him (that the morning prayer was due).",Invocations,Sahih Bukhari,8,Sahih
